benchmark,config,timing
q29,parquet_scan (using glob),2.7723496
q30,parquet_scan (using glob),0.2840262
q31,parquet_scan (using glob),1.5594354
q32,parquet_scan (using glob),0.1259582
q33,parquet_scan (using glob),1.3461296
q34,parquet_scan (using glob),1.6216442
q35,parquet_scan (using glob),1.8905652
q36,parquet_scan (using glob),1.47714
q37,parquet_scan (using glob),0.46942960000000006
q38,parquet_scan (using glob),2.2491356
q39,parquet_scan (using glob),1.7243278
q40,parquet_scan (using glob),0.4339259999999999
q41,parquet_scan (using glob),0.0249894
q42,parquet_scan (using glob),0.8681151999999999
q43,parquet_scan (using glob),1.3790369999999998
q44,parquet_scan (using glob),2.7848037999999997
q45,parquet_scan (using glob),0.3708096
q46,parquet_scan (using glob),2.578611
q47,parquet_scan (using glob),3.7267517999999997
q48,parquet_scan (using glob),2.6464445999999997
q49,parquet_scan (using glob),2.0632918
q50,parquet_scan (using glob),2.5835488
q51,parquet_scan (using glob),7.1305058
q52,parquet_scan (using glob),0.8761234
q53,parquet_scan (using glob),1.3964368
q54,parquet_scan (using glob),5.0589352000000005
q55,parquet_scan (using glob),0.8719121999999999
q56,parquet_scan (using glob),1.3088111999999998
q57,parquet_scan (using glob),0.9771751999999999
q58,parquet_scan (using glob),1.1507450000000001
q59,parquet_scan (using glob),3.5929116
q60,parquet_scan (using glob),1.4370847999999998
q61,parquet_scan (using glob),3.3408262
q62,parquet_scan (using glob),0.7309368
q63,parquet_scan (using glob),1.4033555999999998
q64,parquet_scan (using glob),6.0609128
q65,parquet_scan (using glob),4.3081314
q66,parquet_scan (using glob),0.8783632000000001
q68,parquet_scan (using glob),2.7354482
q69,parquet_scan (using glob),1.053861
q70,parquet_scan (using glob),2.6994252
q71,parquet_scan (using glob),1.5131812
q72,parquet_scan (using glob),2.4544531999999997
q73,parquet_scan (using glob),1.6516802000000002
q74,parquet_scan (using glob),5.0615676
q75,parquet_scan (using glob),3.960447
q76,parquet_scan (using glob),2.2192499999999997
q77,parquet_scan (using glob),1.7480904
q78,parquet_scan (using glob),7.7127468
q79,parquet_scan (using glob),2.7534264
q80,parquet_scan (using glob),3.2093491999999997
q81,parquet_scan (using glob),0.3560198
q82,parquet_scan (using glob),0.7658354
q83,parquet_scan (using glob),0.19081380000000003
q84,parquet_scan (using glob),0.137316
q85,parquet_scan (using glob),1.9863992
q86,parquet_scan (using glob),0.3999574
q87,parquet_scan (using glob),2.4176323999999996
q88,parquet_scan (using glob),8.415248
q89,parquet_scan (using glob),1.4997105999999998
q90,parquet_scan (using glob),0.46338460000000004
q91,parquet_scan (using glob),0.0853758
q92,parquet_scan (using glob),0.38810559999999994
q93,parquet_scan (using glob),2.9364917999999998
q94,parquet_scan (using glob),0.6359622
q95,parquet_scan (using glob),8.2681072
q96,parquet_scan (using glob),1.084813
q97,parquet_scan (using glob),2.7287896000000003
q98,parquet_scan (using glob),0.9235576
q99,parquet_scan (using glob),0.951141
